Symbol,PositiveFreq,NegativeFreq,PosProb
HBD,321.0,9.0,0.9727272727272728
HBE,708.0,14.0,0.9806094182825484
HBF,668.0,14.0,0.9794721407624634
HBG,377.0,17.0,0.9568527918781726
HBH,323.0,44.0,0.8801089918256131
HCA,17.0,8.0,0.68
HCB,407.0,13.0,0.9690476190476189
HCC,1827.0,23.0,0.9875675675675676
HCD,1323.0,50.0,0.9635833940276766
HCE,1623.0,45.0,0.9730215827338128
HCF,1415.0,42.0,0.9711736444749484
HCG,1028.0,34.0,0.967984934086629
HCH,815.0,76.0,0.914702581369248
HDA,38.0,14.0,0.7307692307692307
HDB,820.0,31.0,0.9635722679200941
HDC,3064.0,59.0,0.9811079090617996
HDD,2290.0,147.0,0.9396799343455068
HDE,2349.0,134.0,0.9460330245670558
HDF,2414.0,113.0,0.9552829442026118
HDG,1639.0,56.0,0.966961651917404
HDH,1205.0,152.0,0.8879882092851881
HEA,29.0,20.0,0.5918367346938775
HEB,937.0,78.0,0.923152709359606
HEC,2095.0,76.0,0.9649930907415938
HED,1229.0,234.0,0.8400546821599453
HEE,1970.0,167.0,0.9218530650444547
HEF,1600.0,114.0,0.9334889148191364
HEG,1772.0,81.0,0.9562871019967621
HEH,997.0,94.0,0.9138405132905592
HFA,16.0,32.0,0.3333333333333333
HFB,551.0,82.0,0.8704581358609794
HFC,1481.0,172.0,0.895946763460375
HFD,1105.0,360.0,0.7542662116040956
HFE,2541.0,224.0,0.918987341772152
HFF,1294.0,172.0,0.8826739427012278
HFG,852.0,76.0,0.918103448275862
HFH,556.0,109.0,0.8360902255639098
